City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Rio Grande,BR,73.51,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
225,Jacareacanga,BR,72.63,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
234,Queanbeyan,AU,71.19,scattered clouds,-35.35,149.2333,Parkway Motel
236,Yabelo,ET,72.95,overcast clouds,4.8833,38.0833,Asnakech W/michael
237,Puerto Escondido,MX,74.89,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
251,Qui Nhon,VN,75.18,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
252,Basco,PH,72.72,broken clouds,20.4487,121.9702,Nathaniel's Lodge
257,Alofi,NU,79.34,light rain,-19.0595,-169.9187,Taloa Heights
260,Mayumba,GA,77.43,overcast clouds,-3.432,10.6554,LIKWALE LODGE
261,Colon,PA,77.02,scattered clouds,9.3592,-79.9014,Sand Diamond Hotel
262,Autazes,BR,70.88,overcast clouds,-3.5797,-59.1306,Hotel Tupinambá
263,Ballina,AU,73.44,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
270,Marsh Harbour,BS,72.59,clear sky,26.5412,-77.0636,Abaco Beach Resort
272,Loubomo,CG,73.18,overcast clouds,-4.1997,12.6739,La Dolisienne
279,Namibe,AO,73.76,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
284,Iquitos,PE,71.08,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
296,Ruteng,ID,70.48,overcast clouds,-8.6136,120.4721,Hotel FX 72
303,Santa Isabel Do Rio Negro,BR,72.68,moderate rain,-0.4139,-65.0192,Hotel GSA
305,Balabac,PH,79.81,heavy intensity rain,7.9868,117.0645,Batalla’s Lodging House
306,Podor,MR,70.38,clear sky,16.6527,-14.9587,Auberge Du Tékrour
310,Santarem,BR,75.33,thunderstorm,-2.4431,-54.7083,Ecotur Lodge
316,Garowe,SO,77.63,clear sky,8.4054,48.4845,Curubo Hotel
317,Ewa Beach,US,72.99,clear sky,21.3156,-158.0072,Uncle Junior Robert
321,Cartagena,CO,76.98,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
329,Areka,ET,74.66,clear sky,7.0667,37.7,Selam Hotel ሰላም ሆቴል
331,Bam,IR,77.47,clear sky,29.106,58.357,Bam Tourist Hotel
335,Kindu,CD,72.72,overcast clouds,-2.95,25.95,Résidence Okanda
