City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Bichura,RU,50.5881,107.6022,15.53,79,84,4.65,broken clouds
203,Bluff,NZ,-46.6,168.3333,56.8,59,70,6.13,broken clouds
204,Shimoni,KE,-4.6476,39.3817,81.46,76,100,14.36,overcast clouds
205,Bay Roberts,CA,47.5999,-53.2648,35.35,98,100,2.73,snow
206,Mount Gambier,AU,-37.8333,140.7667,76.91,47,66,19.57,broken clouds
207,San Cosme Y Damian,PY,-27.3167,-56.35,77.18,94,100,5.88,overcast clouds
208,Aniva,RU,46.7144,142.5294,21.31,79,100,14.83,overcast clouds
209,Luwingu,ZM,-10.2621,29.9271,65.17,87,100,4.41,overcast clouds
210,Xining,CN,36.6167,101.7667,20.44,57,100,7.4,overcast clouds
211,Los Llanos De Aridane,ES,28.6585,-17.9182,57.13,69,0,10.0,clear sky
212,Ca Mau,VN,9.1769,105.15,92.88,38,94,18.97,overcast clouds
213,Pychas,RU,56.5033,52.4409,26.06,95,100,5.44,overcast clouds
214,Aklavik,CA,68.2191,-135.0107,-22.97,93,6,16.2,clear sky
215,Vestmannaeyjar,IS,63.4427,-20.2734,32.13,89,100,28.36,heavy snow
216,Raahe,FI,64.6833,24.4833,23.2,90,100,17.76,overcast clouds
217,Oudtshoorn,ZA,-33.5907,22.2014,64.76,59,0,4.97,clear sky
218,Misawa,JP,40.6836,141.3597,30.16,47,40,17.27,scattered clouds
219,Biltine,TD,14.5333,20.9167,62.15,19,6,20.69,clear sky
220,Rawson,AR,-43.3002,-65.1023,57.22,60,80,15.5,broken clouds
221,Rio Grande,BR,-32.035,-52.0986,73.51,92,100,6.53,overcast clouds
222,Mar Del Plata,AR,-38.0023,-57.5575,64.09,86,100,13.0,moderate rain
223,Tiksi,RU,71.6872,128.8694,-20.92,98,100,6.96,overcast clouds
224,Naze,JP,28.3667,129.4833,54.52,56,68,19.69,broken clouds
225,Jacareacanga,BR,-6.2222,-57.7528,72.63,99,100,2.15,overcast clouds
226,Kota Kinabalu,MY,5.9749,116.0724,87.78,70,20,8.05,few clouds
227,Kaitangata,NZ,-46.2817,169.8464,55.92,64,29,5.61,scattered clouds
228,Oranjemund,NA,-28.55,16.4333,65.89,79,84,6.82,broken clouds
229,Vammala,FI,61.3333,22.9,31.44,99,100,4.9,light snow
230,Obreja,RO,45.4833,22.25,38.39,82,100,2.33,overcast clouds
231,Rajgarh,IN,28.6333,75.3833,63.21,35,0,2.82,clear sky
232,Geraldton,AU,-28.7667,114.6,104.41,11,0,16.11,clear sky
233,Beloha,MG,-25.1667,45.05,88.09,52,100,19.71,overcast clouds
234,Queanbeyan,AU,-35.35,149.2333,71.19,62,40,17.27,scattered clouds
235,Kargil,IN,34.5667,76.1,-3.98,86,77,2.3,broken clouds
236,Yabelo,ET,4.8833,38.0833,72.95,18,98,7.7,overcast clouds
237,Puerto Escondido,MX,15.85,-97.0667,74.89,65,0,5.26,clear sky
238,Usinsk,RU,65.9939,57.5281,-8.82,100,79,3.04,broken clouds
239,Kamiiso,JP,41.8167,140.65,25.61,77,73,13.56,broken clouds
240,Chumikan,RU,54.7183,135.315,3.69,78,100,13.67,overcast clouds
241,Thunder Bay,CA,48.4001,-89.3168,-2.43,97,9,4.68,clear sky
242,Constitucion,CL,-35.3333,-72.4167,58.53,78,3,8.81,clear sky
243,Hofn,IS,64.2539,-15.2082,26.89,64,100,12.1,light snow
244,Djenne,ML,13.9061,-4.5533,64.54,13,0,9.66,clear sky
245,Narsaq,GL,60.9167,-46.05,5.22,50,0,16.75,clear sky
246,Georgetown,MY,5.4112,100.3354,89.55,69,40,1.01,scattered clouds
247,Dukat,RU,62.55,155.55,-14.85,68,5,9.24,clear sky
248,Hovd,MN,48.0056,91.6419,-1.55,83,2,4.12,clear sky
249,Dezhou,CN,37.4486,116.2925,39.27,18,21,7.02,few clouds
250,Kemin,KG,42.7846,75.6892,37.63,42,0,11.01,clear sky
251,Qui Nhon,VN,13.7667,109.2333,75.18,84,100,19.46,overcast clouds
252,Basco,PH,20.4487,121.9702,72.72,75,84,25.43,broken clouds
253,Lebu,CL,-37.6167,-73.65,56.3,90,3,16.91,clear sky
254,Saskylakh,RU,71.9167,114.0833,-12.14,99,99,4.92,overcast clouds
255,Esperance,AU,-33.8667,121.9,96.64,50,0,22.41,clear sky
256,Kazanskaya,RU,45.4106,40.4361,30.25,91,94,12.71,overcast clouds
257,Alofi,NU,-19.0595,-169.9187,79.34,83,100,23.24,light rain
258,Jiangyou,CN,31.7667,104.7167,40.89,95,100,2.77,light rain
259,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,83,100,10.07,overcast clouds
260,Mayumba,GA,-3.432,10.6554,77.43,80,100,4.54,overcast clouds
261,Colon,PA,9.3592,-79.9014,77.02,85,48,10.94,scattered clouds
262,Autazes,BR,-3.5797,-59.1306,70.88,99,100,2.62,overcast clouds
263,Ballina,AU,-28.8667,153.5667,73.44,66,95,20.69,overcast clouds
264,Batagay-Alyta,RU,67.8006,130.4114,-23.31,97,62,1.92,broken clouds
265,Alice Springs,AU,-23.7,133.8833,81.95,24,0,8.05,clear sky
266,Toamasina,MG,-18.1667,49.3833,84.04,62,100,11.16,overcast clouds
267,Dalian,CN,38.9122,121.6022,28.33,40,0,17.9,clear sky
268,Paris,FR,48.8534,2.3488,39.15,93,0,1.99,clear sky
269,Teguise,ES,29.0605,-13.564,61.02,59,0,9.22,clear sky
270,Marsh Harbour,BS,26.5412,-77.0636,72.59,63,0,7.23,clear sky
271,Ribeira Grande,PT,38.5167,-28.7,59.31,75,25,5.26,scattered clouds
272,Loubomo,CG,-4.1997,12.6739,73.18,90,90,2.82,overcast clouds
273,Yamada,JP,39.4667,141.95,31.68,47,44,11.45,scattered clouds
274,Diapaga,BF,12.0708,1.7889,64.08,14,0,9.62,clear sky
275,Coos Bay,US,43.3665,-124.2179,47.23,99,100,0.0,haze
276,Shadegan,IR,30.6497,48.6647,62.64,40,0,16.02,clear sky
277,Jha Jha,IN,24.7667,86.3667,67.66,48,4,13.11,clear sky
278,Kushima,JP,31.4583,131.2333,44.11,57,67,16.11,broken clouds
279,Namibe,AO,-15.1961,12.1522,73.76,56,78,3.27,broken clouds
280,Wiarton,CA,44.7407,-81.1332,6.4,88,100,7.18,overcast clouds
281,San Vicente,AR,-26.6167,-54.1333,67.69,100,100,0.94,light rain
282,Roebourne,AU,-20.7833,117.1333,89.85,63,67,17.83,broken clouds
283,Nouadhibou,MR,20.931,-17.0347,66.18,37,0,9.22,clear sky
284,Iquitos,PE,-3.7481,-73.2472,71.08,98,100,1.52,overcast clouds
285,Yulara,AU,-25.2406,130.9889,86.65,15,0,10.02,clear sky
286,Christchurch,NZ,-43.5333,172.6333,55.9,91,100,3.44,light rain
287,Lorengau,PG,-2.0226,147.2712,83.43,71,100,9.55,overcast clouds
288,Broken Hill,AU,-31.95,141.4333,82.49,24,95,17.4,overcast clouds
289,Praya,CV,14.9215,-23.5087,68.54,77,0,18.41,clear sky
290,Cedar City,US,37.6775,-113.0619,22.39,57,1,2.33,clear sky
291,Kirensk,RU,57.7853,108.1119,16.03,90,100,9.42,overcast clouds
292,Brae,GB,60.3964,-1.353,40.91,63,100,18.54,overcast clouds
293,Shenjiamen,CN,29.9576,122.298,42.67,64,8,18.57,clear sky
294,Ushtobe,KZ,45.2514,77.9838,26.76,70,2,8.86,clear sky
295,Birobidzhan,RU,48.8,132.95,4.46,88,100,5.03,overcast clouds
